,URL,Dish,Cuisine,Total Time,Ingredients
0,https://www.vegrecipesofindia.com/punjabi-chole-chickpeas-in-a-spicy-gravy/,Chana Masala | Punjabi Chole Masala (Stovetop & Instant Pot),North Indian,9 hrs 45 mins,"['Ingredients', 'For Pressure Cooking White Chickpeas', '1 cup / 200 grams dried white chickpeas (garbanzo beans, kabuli chana or safed chole)', '2.5 to 3 cups water for pressure cooking the chickpeas', '2 to 3 dried amla or indian gooseberry or 1 black tea bag, optional', '½ teaspoon salt or add as required', 'Ingredients For Gravy', '1 medium sized onion, finely chopped', '1 medium sized tomato, finely chopped', '½ teaspoon ginger-garlic paste or 2 to 3 small garlic cloves + ½ inch ginger, crushed to a paste in a mortar-pestle', '¼ teaspoon turmeric powder', '½ teaspoon red chili powder', '¼ teaspoon garam masala powder – optional', '¾ to 1 teaspoon amchur powder (dry mango powder), optional and only to be added when you do not have dry pomegranate seeds', '2 to 3 green chilies – slit', '1 to 1.25 cups water or the stock in which the chickpeas were cooked', '1.5 to 2 tablespoons oil', 'salt as required', 'Spices For Chole Masala Powder', '2 black cardamoms', '1 inch cinnamon', '3 to 4 black peppers', '2 cloves', '1 medium sized tej patta (indian bay leaf)', '¼ teaspoon carom seeds (ajwain)', '1 teaspoon cumin seeds', '1 teaspoon coriander seeds', '1 teaspoon fennel seeds', '½ teaspoon dry pomegranate seeds', '1 to 2 kashmiri dry red chilies', 'For Garnishing', 'some chopped coriander leaves (cilantro leaves)', '½ inch ginger – julienne', '1 medium onion sliced or chopped', '1 medium tomato sliced or chopped', '1 lime or lemon, sliced or quartered']"
1,https://www.vegrecipesofindia.com/idli-recipe-how-to-make-soft-idlis/,Idli Recipe | How To Make Idli Batter,South Indian,9 hrs 25 mins,"['Ingredients', '1 cup regular rice + 1 cup parboiled rice or 2 cups idli rice or 2 cups parboiled rice', '½ cup whole or split urad dal or 120 grams whole or split urad dal (husked black gram)', '¼ cup thick poha or 20 grams thick poha (flattened rice)', '¼ teaspoon fenugreek seeds (methi seeds)', '2 cups water for soaking rice', '1 cup water for soaking urad dal', '½ cup water for grinding urad dal or add as required', '¾ to 1 cup water for grinding rice or add as required', '1 teaspoon rock salt (sendha namak) or sea salt', 'oil as required to apply to the idli moulds', '2.5 cups water for steaming idli']"
2,https://www.vegrecipesofindia.com/paneer-tikka-recipe-paneer-tikka/,Paneer Tikka (Made In Oven Or StoveTop),North Indian,2 hrs 30 mins,"['Ingredients', 'Main Ingredients', '200 to 250 grams paneer or Indian cottage cheese', '½ cup diced onions or 1 medium sized onion', '½ diced capsicum or 1 small to medium bell pepper - green, yellow or red', 'For Paneer Tikka Marination', '200 grams hung curd or greek yogurt', '1 tablespoon ginger-garlic paste or 1 tablespoon crushed ginger-garlic', '2 teaspoons kashmiri red chili powder or 2 teaspoons sweet paprika', '½ teaspoon turmeric powder (ground turmeric)', '1 teaspoon cumin powder (ground cumin)', '1 teaspoon coriander powder (ground coriander)', '½ teaspoon garam masala powder', '1 teaspoon ajwain (carom seeds)', '1 teaspoon dry mango powder (amchur powder)', '1 teaspoon chaat masala', '½ teaspoon black pepper powder - optional (ground black pepper)', '1.5 teaspoons lemon juice', '1 tablespoon mustard oil or any neutral tasting oil', '½ teaspoon black salt - optional', 'salt as required', 'some mustard oil for brushing']"
3,https://www.vegrecipesofindia.com/tawa-paneer-masala-recipe-paneer-recipes/,Tawa Paneer Masala,North Indian,40 mins,"['Ingredients', '200 to 250 grams paneer (cottage cheese)', '1 large onion - finely chopped or about 100 to 120 grams onions', '1 medium capsicum or about 80 to 100 grams capsicum (green bell pepper)', '3 medium tomatoes - chopped or 180 to 200 grams tomatoes', '4 to 5 medium garlic cloves', '1 inch ginger', '1 green chili - chopped', '½ teaspoon ajwain (carom seeds)', '1 teaspoon coriander powder', '¼ teaspoon red chilli powder', '¼ teaspoon turmeric powder', '1 teaspoon pav bhaji masala or ½ teaspoon garam masala + ¼ teaspoon dry mango powder (amchur powder)', '2 tablespoon butter', '½ teaspoon crushed kasuri methi (dry fenugreek leaves)', 'salt as required', 'few chopped coriander leaves for garnish']"
4,https://www.vegrecipesofindia.com/how-to-make-paneer-homemade-paneer/,How To Make Paneer,North Indian,15 mins,"['Ingredients', 'Ingredients', '1 litre full fat milk or full cream milk', '3 to 4 teaspoons lemon juice or vinegar or 3 to 4 tablespoons curd or yogurt', 'Materials Required', 'cheese cloth or muslin or a thin cotton napkin', 'some bowls and a heavy weight']"
5,https://www.vegrecipesofindia.com/matar-paneer/,Matar Paneer | Peas And Cottage Cheese Curry,North Indian,30 mins,"['Ingredients', 'Main Ingredients', '250 to 300 grams paneer (cottage cheese)', '1 cup peas or matar - fresh or frozen', '1 to 1.25 cup water or 250 to 315 ml water or add as required', '½ teaspoon cumin seeds', '¼ teaspoon turmeric powder', '¼ to ½ teaspoon red chili powder', '¼ to ½ teaspoon garam masala powder or punjabi garam masala powder', '1 tablespoon malai or cream (optional)', '½ teaspoon sugar or add as required - optional *check notes', '2 to 2.5 tablespoon oil or ghee', 'a few coriander leaves (dhania patta) for garnishing', 'salt as required', 'Ingredients For Masala Paste', '3 medium sized ripe red tomatoes - roughly chopped or ¾ cup roughly chopped tomatoes', '1 medium to large onion - roughly chopped or ½ cup roughly chopped onions', '1 to 2 green chilies - chopped', '½ inch ginger - chopped', '2 to 3 garlic - chopped', '2 tablespoon roughly chopped coriander leaves - chopped', '10 to 12 whole cashews - chopped', '4 to 5 whole black peppercorns', '2 to 3 cloves', '½ inch cinnamon', '1 teaspoon coriander seeds']"
6,https://www.vegrecipesofindia.com/dal-makhani-restaurant-style-recipe/,Dal Makhani,Punjabi,9 hrs,"['Ingredients', 'Main Ingredients', '¾ cup whole urad dal or 140 grams whole urad dal', '¼ cup rajma or 40 grams rajma (kidney beans)', '3 cups water for pressure cooking or 750 ml water', '1 medium onion or 50 grams onion or ½ cup finely chopped onions', '1 or 2 green chilies - chopped', '2 teaspoon ginger garlic paste or 6 to 7 garlic + 1 inch ginger - crushed to a paste in mortar-pestle', '2 large tomatoes or 200 grams tomatoes pureed or 1 cup tomato puree', '½ teaspoon cumin seeds', '2 to 3 cloves', '2 to 3 green cardamoms', '1 black cardamom', '1 inch cinnamon', '1 small to medium tej patta (indian bay leaf)', '½ teaspoon red chili powder', '2 to 3 pinches of nutmeg powder or grated nutmeg', '1 cup of water or add as required', '¼ to ⅓ cup low fat cream - 25% to 30% fat', '½ tablespoon low fat cream for garnish', '¼ teaspoon crushed kasuri methi (dry fenugreek leaves)', '3 tablespoon butter - salted or unsalted', 'salt as required', 'For Dhungar Method: (Optional)', '1 small piece of charcoal', '½ to ⅔ teaspoon oil']"
7,https://www.vegrecipesofindia.com/besan-ladoo-recipe-easy-besan-ladoos/,Besan Ladoo,North Indian,23 mins,"['Ingredients', '2 cups besan (gram flour or chickpea flour)', '½ to ⅔ cup ghee (clarified butter) - add more ghee, if required', '1 cup powdered sugar or boora', '4 green cardamoms - powdered in a mortar-pestle', '1 or 2 tablespoon golden raisins']"
8,https://www.vegrecipesofindia.com/gajar-halwa-recipe-gajar-ka-halwa/,Carrot Halwa | Gajar Halwa,"North Indian, Punjabi",1 hr 40 mins,"['Ingredients', '8 to 9 medium tender juicy carrots or 650 grams - yields approx 4 to 4.5 cups grated carrots', '4 cups full fat organic milk', '4 tablespoons ghee (clarified butter)', '10 to 12 tablespoons regular sugar or organic unrefined cane sugar or 180 to 190 grams sugar - add as required', '5 to 6 green cardamom - powdered finely in a mortar-pestle or about ⅓ to 1 teaspoon cardamom powder', '10 to 12 whole cashews - chopped', '10 to 12 almonds - sliced or chopped', '2 tablespoons golden raisins', '1 pinch saffron strands - optional']"
9,https://www.vegrecipesofindia.com/masala-dosa-recipe-how-to-make-masala-dosa-recipe/,Masala Dosa Hotel Style (With Savory Potato Filling),South Indian,9 hrs 30 mins,"['Ingredients', 'Ingredients For Batter', '330 grams idli rice (parboiled rice, ukda chawal, sela chawal) or 1.5 cups idli rice', '125 grams urad dal or ½ cup husked whole or split black gram', '35 grams thick poha or ¼ cup thick poha (flattened rice)', '1 tablespoon chana dal (husked & split bengal gram)', '20 methi seeds (fenugreek seeds)', '1 cup water for soaking urad dal', '2 cups water for soaking rice', '1 cup water for grinding rice & poha', '½ cup water for grinding dal', '½ teaspoon rock salt or add as required', 'Ingredients For Potato Masala', '300 grams potatoes or 4 medium sized potatoes or 2 cups boiled & chopped or crumbled potatoes', '2 tablespoons oil', '½ teaspoon mustard seeds', '1 tablespoon chana dal (husked & split bengal gram) soaked in ¼ cup hot water for 30 minutes', '150 grams onions or 2 medium to large onions, thinly sliced or 1.25 cups thinly sliced onions', '1 inch ginger, finely chopped or 1 teaspoon finely chopped ginger', '8 to 10 curry leaves', '1 to 2 green chillies, chopped', '¼ teaspoon turmeric powder', '1 pinch of asafoetida (hing)', '½ cup water', '3 tablespoons chopped coriander leaves', '8 to 10 cashews , optional', '¼ teaspoon sugar, optional', 'salt as required']"
