,URL,Dish,Cuisine,Total Time,Ingredients
0,https://www.vegrecipesofindia.com/matar-kachori-khasta-matar-kachori/,Matar Kachori,North Indian,1 hr,"['Ingredients', 'For Matar Kachori Pastry', '1 cup all purpose flour , you can also use whole wheat flour or both the flours in half-half ratio', '1 tablespoon oil or ghee, i used sunflower oil', '¼ cup warm water', '¼ teaspoon baking powder', '¼ teaspoon salt or add as required', 'For Matar Kachori Stuffing', '1 cup peas, fresh or frozen', '¼ teaspoon red chili powder', '¼ teaspoon turmeric powder', '½ teaspoon coriander powder', '½ teaspoon fennel powder', '½ teaspoon chaat masala or add as per taste', '½ teaspoon amchur powder (dry mango powder) or add as per taste', '½ teaspoon green chili-ginger paste or crushed or minced green chili & ginger - use about ½ inch of ginger and ½ or 1 green chili and then crush them in a mortar & pestle', '¼ teaspoon cumin seeds', '1 tablespoon besan (gram flour or chickpea flour)', '2 teaspoons oil or ghee (clarified butter)', 'salt as required', 'For Frying', '2 to 3 cups oil']"
1,https://www.vegrecipesofindia.com/rava-idli-recipe-quick-rava-idli/,Rava Idli | Sooji Idli,South Indian,47 mins,"['Ingredients', 'For Frying & Roasting', '2 tablespoons ghee (clarified butter)', '14 halved cashews', '½ teaspoon mustard seeds', '1 teaspoon chana dal (husked and split bengal gram or split & husked chickpeas)', '½ teaspoon cumin seeds', '10 curry leaves - chopped', '1 pinch asafoetida - optional', '1 teaspoon or 1 inch finely chopped ginger', '1 green chilli - finely chopped', 'For Rava Idli Batter', '2 tablespoons finely grated carrots - optional', '2 tablespoons chopped coriander leaves (cilantro)', '½ teaspoon salt or add as required', '1 cup or 175 grams cup rava (sooji, semolina, cream of wheat)', '½ cup curd (yogurt)', '½ to ¾ cup water or add as required', '1 teaspoon eno (fruit salt) or ¼ teaspoon or 2 to 3 pinches of baking soda']"
2,https://www.vegrecipesofindia.com/khandvi-recipe-how-to-make-khandvi/,Khandvi Recipe,Gujarati,40 mins,"['Ingredients', 'For Khandvi Batter', '1 cup besan (gram flour) or 100 grams besan', '¾ cup sour curd, about 150 grams (dairy or vegan curd)', '2.25 cups water, to be mixed with the curd (alternatively you can also use 3 cups sour buttermilk or chaas)', '1 teaspoon ginger + green chili paste, about ½ inch ginger & 1 green chili crushed in a mortar-pestle', '¼ teaspoon turmeric powder', '⅔ teaspoon salt or add as required', '1 pinch asafoetida (hing)', 'For The Filling', '2 tablespoons fresh grated coconut', '2 tablespoons chopped coriander leaves', 'For The Khandvi Tempering/Seasoning', '1 tablespoon oil', '8 to 10 curry leaves', '1 teaspoon mustard seeds', '2 teaspoons white sesame seeds', '1 teaspoon green chili , chopped or ½ red chilli powder']"
3,https://www.vegrecipesofindia.com/khaman-dhokla-microwave-recipe/,Khaman Dhokla Recipe | Khaman Recipe | Besan Dhokla,"Gujarati, Indian",20 mins,"['Ingredients', 'For Khaman Dhokla Batter', '1.5 cups gram flour (besan)', '1 tablespoon rava (or semolina) - optional', '3 teaspoon ginger-green chilies paste, 1 inch ginger + 1 or 2 green chilies crushed in a mortar-pestle', '2 to 3 pinches turmeric powder', '1-2 pinch asafoetida (hing)', '2 teaspoon eno or fruit salt ½ to ¾ teaspoon baking soda', '1 teaspoon salt or as required', '1 teaspoon lime juice', '1 cup water or add as required- the amount of water required depends on the quality of gram flour. so add as required to make a thick yet flowing batter.', 'For Tempering Khaman', '2 tablespoon oil', '⅓ cup water', '1 teaspoon mustard seeds', '1 teaspoon cumin seeds optional', '2 teaspoon white sesame seeds', '1 sprig curry leaves, about 8 to 10 curry leaves', '1 green chili, chopped (optional)', '1 teaspoon lime juice', '2 teaspoon sugar', 'For Garnish', '2 tablespoon chopped coriander leaves (cilantro leaves', '2 tablespoon grated coconut']"
4,https://www.vegrecipesofindia.com/samosa-recipe-punjabi-samosa/,Best Punjabi Samosa Recipe,"North Indian, Punjabi",1 hr 30 mins,"['Ingredients', 'For Making Samosa Pastry', '2 cups maida or all purpose flour, 250 grams', '4 tablespoons ghee (clarified butter) or oil', '5 to 6 tablespoons water, i added 5 tablespoons + 1 teaspoon water', '1 teaspoon carom seeds', 'salt as required, i added ¾ teaspoon salt', 'oil for deep frying', 'For The Samosa Stuffing', '3 medium sized potatoes', '¾ to 1 cup green peas - fresh or frozen', '1 green chili + ½ inch ginger, crushed to a coarse paste in a mortar and pestle', '½ teaspoon cumin seeds', '¼ teaspoon red chili powder', '1 pinch asafoetida (hing)', '½ tablespoon oil', 'salt as required', 'Whole Spices To Be Ground For Samosa Stuffing', '¼ inch cinnamon (dalchini)', '2 black peppercorns', '1 green cardamom', '½ teaspoon cumin', '½ teaspoon fennel seeds', '1 teaspoon coriander seeds', '2 teaspoons dry pomegranate seeds or 1 teaspoon dry mango powder (amchur) * check notes for mango powder']"
5,https://www.vegrecipesofindia.com/neer-dosa-recipe/,Neer Dosa,"Karnataka, South Indian",5 hrs 30 mins,"['Ingredients', '1 cup regular rice (sona masuri or parimal rice or surti kolam)', '1.5 to 2 cups water or add as required', 'salt as required', 'oil for making dosa']"
6,https://www.vegrecipesofindia.com/idli-recipe-with-idli-rava/,Andhra Style Idli With Rice Rava (Idli Rava),"Andhra, South Indian",14 hrs 12 mins,"['Ingredients', '2 cups idli rava (cream of rice or rice sooji or rice rava)', '½ cup urad dal (spilt and skinned black gram lentils)', '¼ cup poha (flattened rice)', '7 to 8 methi seeds (fenugreek seeds)', 'rock salt (sendha namak) as required', 'water for soaking']"
7,https://www.vegrecipesofindia.com/dahi-vada-recipe/,Dahi Vada,North Indian,9 hrs 45 mins,"['Ingredients', 'For Making Vada - Makes About 35-38 Small Vada', '1 cup urad dal', '1 green chili - chopped', '½ inch ginger - chopped', '1 teaspoon cumin seeds', '1 pinch asafoetida (hing)', '3 tablespoon water for grinding the batter or as required', '½ tablespoon raisins', '8 to 9 cashews - chopped', 'salt as required - i added ⅔ teaspoon rock salt (sendha namak)', 'Other Ingredients', '2 to 2.25 cups curd (yogurt) - i made homemade curd made from 500 ml organic milk', '½ to 1 teaspoon chaat masala or as required', '¼ to ½ teaspoon red chili powder or as required', '1 teaspoon roasted cumin powder', 'black salt or regular salt as required', 'For Tamarind Chutney', '½ cup seedless tamarind - tightly packed', '1.75 cups water', '½ teaspoon ginger powder (saunth)', '1 pinch asafoetida (hing)', '½ teaspoon cumin seeds', '¼ teaspoon red chili powder', '7 to 8 tablespoon jaggery or as required - adjust as per your taste', 'rock salt or black salt or regular salt as required', '1 teaspoon oil', 'For Green Chutney', '2 cups coriander leaves', '(cilantro leaves)', '1 or 1.5 teaspoon anardana (dry pomegranate seeds) or ½ to 1 teaspoon amchur powder (dry mango powder)', '½ tablespoon chopped onion (optional)', '1 or 2 garlic cloves', 'salt as required', 'water as required']"
8,https://www.vegrecipesofindia.com/achari-paneer-recipe/,Achari Paneer,North Indian,45 mins,"['Ingredients', 'Pickling Spices For Paneer Achari', '1 teaspoon fennel seeds', '1 teaspoon cumin seeds', '1 teaspoon mustard seeds', '½ teaspoon nigella seeds (kalonji)', '¼ teaspoon methi dana (fenugreek seeds)', 'Other Ingredients For Paneer Achari', '200 to 250 grams paneer, chopped in cubes or squares (cottage cheese)', '1 cup fresh whole milk curd (yogurt) or 240 grams curd', '1.5 teaspoon ginger-green chili paste or ½ inch ginger + 1 or 2 green chilies', '2 dry red chilies', '1 pinch asafoetida (hing)', '1 medium tomato chopped, about 1/3 cup tightly packed chopped tomatoes, 75 to 80 grams of tomatoes', '10 to 12 cashews or 2 tablespoon cashews or 2 tablespoon cashew powder', '¼ teaspoon turmeric powder', '½ teaspoon red chili powder', '½ teaspoon coriander powder (ground coriander)', '¼ teaspoon cumin powder - optional', '1 or 2 teaspoon of mango pickle masala (optional)', '1 to 1.5 tablespoon besan (gram flour)', '½ teaspoon kasuri methi (dry fenugreek leaves)', '3 tablespoon low fat cream', '2 tablespoon rice bran oil or sunflower oil or mustard oil or ghee', '1 tablespoon chopped coriander leaves (cilantro leaves)', '1 teaspoon chopped mint leaves', 'salt as required']"
9,https://www.vegrecipesofindia.com/medu-vada-recipe-medu-vada/,Medu Vada Recipe (Black Gram Fritters),South Indian,4 hrs 40 mins,"['Ingredients', '2 cups urad dal (husked & split black gram)', '1 teaspoon cumin seeds', '1 teaspoon black peppercorns, whole or crushed (optional)', '1 or 2 sprig curry leaves, chopped', '1 medium onion, finely chopped (optional)', '1 or 2 green chilies, chopped', '1 tablespoon finely chopped ginger', '⅓ cup chopped coconut pieces, optional', 'few sprigs of coriander leaves, chopped (optional)', 'salt to taste', 'oil for deep frying', 'some water if needed to grind the batter']"
