,URL,Dish,Cuisine,Total Time,Ingredients
0,https://www.vegrecipesofindia.com/eggless-dates-walnut-coffee-cake/,Easy Date And Walnut Cake (Eggless + Vegan),World,1 hr 20 mins,"['Ingredients', '1.5 cups whole wheat flour', '½ cup all purpose flour', '½ cup sunflower oil or any good neutral tasting oil', '¾ cup unrefined cane sugar regular sugar or demerara sugar- adjust as per your taste preferences', '1 cup almond milk or soy milk or oats milk - dairy milk can be added instead', '1 cup water', '1 cup seedless dates', '½ cup walnuts', '2 teaspoon instant coffee', '1 tablespoon cacao nibs or small chocolate chips - if adding choco chips, then adjust the sugar accordingly', '½ teaspoon vanilla bean powder or 1 teaspoon vanilla extract', '1 teaspoon baking powder', '½ teaspoon baking soda', '1 pinch salt']"
1,https://www.vegrecipesofindia.com/eggless-orange-cake/,"Orange Cake (Whole Wheat, Eggless & Vegan)",World,55 mins,"['Ingredients', '1 cup whole wheat flour - 120 grams or can use all-purpose flour or half-half of both the flours', '½ teaspoon baking powder', '½ teaspoon baking soda', '1 pinch salt', '¾ to 1 cup orange juice - 187 ml to 250 ml. if using whole wheat flour then add 1 cup orange juice and if using all-purpose flour, then add ¾ cup orange juice', '½ cup regular fine sugar - 100 grams. can use powdered jaggery or organic unrefined cane sugar or powdered sugar - add more if required', '¼ cup olive oil - 62.5 ml. butter or any vegetable oil can be added instead', '½ teaspoon orange zest', '1 tablespoon eggless vanilla custard powder or cornflour (corn starch)']"
2,https://www.vegrecipesofindia.com/eggless-banana-cake-recipe/,Whole Wheat Banana Cake (Eggless And Vegan),"American, World",40 mins,"['Ingredients', '4 medium to large ripe or over ripe bananas - 300 grams or 10.50 ounce bananas', '1.5 cups whole wheat flour or 180 grams whole wheat flour', '1 teaspoon baking powder', '½ teaspoon baking soda', 'a pinch of salt', '½ cup regular sugar or organic unrefined cane sugar or 100 grams sugar', '⅔ cup any neutral flavored oil (i used sunflower oil)', '1 teaspoon vanilla extract', '10 halved walnuts, chopped or any dry fruits of your choice (optional)']"
3,https://www.vegrecipesofindia.com/punjabi-chole-chickpeas-in-a-spicy-gravy/,Chana Masala | Punjabi Chole Masala (Stovetop & Instant Pot),North Indian,9 hrs 45 mins,"['Ingredients', 'For Pressure Cooking White Chickpeas', '1 cup / 200 grams dried white chickpeas (garbanzo beans, kabuli chana or safed chole)', '2.5 to 3 cups water for pressure cooking the chickpeas', '2 to 3 dried amla or indian gooseberry or 1 black tea bag, optional', '½ teaspoon salt or add as required', 'Ingredients For Gravy', '1 medium sized onion, finely chopped', '1 medium sized tomato, finely chopped', '½ teaspoon ginger-garlic paste or 2 to 3 small garlic cloves + ½ inch ginger, crushed to a paste in a mortar-pestle', '¼ teaspoon turmeric powder', '½ teaspoon red chili powder', '¼ teaspoon garam masala powder – optional', '¾ to 1 teaspoon amchur powder (dry mango powder), optional and only to be added when you do not have dry pomegranate seeds', '2 to 3 green chilies – slit', '1 to 1.25 cups water or the stock in which the chickpeas were cooked', '1.5 to 2 tablespoons oil', 'salt as required', 'Spices For Chole Masala Powder', '2 black cardamoms', '1 inch cinnamon', '3 to 4 black peppers', '2 cloves', '1 medium sized tej patta (indian bay leaf)', '¼ teaspoon carom seeds (ajwain)', '1 teaspoon cumin seeds', '1 teaspoon coriander seeds', '1 teaspoon fennel seeds', '½ teaspoon dry pomegranate seeds', '1 to 2 kashmiri dry red chilies', 'For Garnishing', 'some chopped coriander leaves (cilantro leaves)', '½ inch ginger – julienne', '1 medium onion sliced or chopped', '1 medium tomato sliced or chopped', '1 lime or lemon, sliced or quartered']"
4,https://www.vegrecipesofindia.com/idli-recipe-how-to-make-soft-idlis/,Idli Recipe | How To Make Idli Batter,South Indian,9 hrs 25 mins,"['Ingredients', '1 cup regular rice + 1 cup parboiled rice or 2 cups idli rice or 2 cups parboiled rice', '½ cup whole or split urad dal or 120 grams whole or split urad dal (husked black gram)', '¼ cup thick poha or 20 grams thick poha (flattened rice)', '¼ teaspoon fenugreek seeds (methi seeds)', '2 cups water for soaking rice', '1 cup water for soaking urad dal', '½ cup water for grinding urad dal or add as required', '¾ to 1 cup water for grinding rice or add as required', '1 teaspoon rock salt (sendha namak) or sea salt', 'oil as required to apply to the idli moulds', '2.5 cups water for steaming idli']"
5,https://www.vegrecipesofindia.com/banana-bread-eggless-vegan-recipe/,Banana Bread (Eggless And Vegan),World,45 mins,"['Ingredients', '4 medium sized ripe bananas or over ripe bananas or 300 grams ripe bananas or 10.5 ounce ripe bananas', '1.5 cups whole wheat flour or 180 grams whole wheat flour', '½ cup coconut oil or sunflower oil or any vegetable oil or 125 ml coconut oil', '½ cup brown sugar or unrefined cane sugar or regular granulated sugar', '½ teaspoon vanilla powder or 1 teaspoon vanilla extract', '¼ teaspoon cinnamon powder - optional', '2 to 3 pinches nutmeg powder or ⅛ teaspoon nutmeg powder - optional', '1 to 2 tablespoon sunflower seeds - optional', '1.5 teaspoon baking powder', '½ teaspoon baking soda', '1 pinch salt - optional']"
6,https://www.vegrecipesofindia.com/eggless-christmas-fruit-cake/,Fruit Cake | Christmas Cake (Eggless),World,1 d 1 hr 45 mins,"['Ingredients', 'For Soaking In Rum', '¼ cup golden raisins', '¼ cup black raisins (seedless)', '¼ cup cashews', '¼ cup chopped candied orange peels or candied citrus peels', '8 dry apricots', '8 to 9 dates', '¼ cup tutti frutti', '2 tablespoons dry cherries or glazed cherries', '1 cup rum or 1 cup fresh orange juice or apple juice', 'For Making Fruit Cake Batter', '1.5 cups all purpose flour or 187 grams', '1 cup whole wheat flour or 120 grams', '1.5 cups demerara sugar or 250 grams demerara or 250 grams brown sugar or 1.5 cups powdered sugar', '1 cup oil or melted butter, 250 ml', '1 cup soy milk or any nut milk or dairy milk, 250 ml', '2 tablespoons apple cider vinegar or regular white vinegar', '1 teaspoon baking soda', '½ teaspoon baking powder', '1 teaspoon vanilla extract or ½ teaspoon vanilla essence', 'The Spice Mix For Cake', '2 inches cinnamon', '2 green cardamoms', '2 all spice', '⅛ teaspoon grated nutmeg or nutmeg powder, about 2 to 3 pinches of nutmeg powder', '2 cloves - optional']"
7,https://www.vegrecipesofindia.com/masala-dosa-recipe-how-to-make-masala-dosa-recipe/,Masala Dosa Hotel Style (With Savory Potato Filling),South Indian,9 hrs 30 mins,"['Ingredients', 'Ingredients For Batter', '330 grams idli rice (parboiled rice, ukda chawal, sela chawal) or 1.5 cups idli rice', '125 grams urad dal or ½ cup husked whole or split black gram', '35 grams thick poha or ¼ cup thick poha (flattened rice)', '1 tablespoon chana dal (husked & split bengal gram)', '20 methi seeds (fenugreek seeds)', '1 cup water for soaking urad dal', '2 cups water for soaking rice', '1 cup water for grinding rice & poha', '½ cup water for grinding dal', '½ teaspoon rock salt or add as required', 'Ingredients For Potato Masala', '300 grams potatoes or 4 medium sized potatoes or 2 cups boiled & chopped or crumbled potatoes', '2 tablespoons oil', '½ teaspoon mustard seeds', '1 tablespoon chana dal (husked & split bengal gram) soaked in ¼ cup hot water for 30 minutes', '150 grams onions or 2 medium to large onions, thinly sliced or 1.25 cups thinly sliced onions', '1 inch ginger, finely chopped or 1 teaspoon finely chopped ginger', '8 to 10 curry leaves', '1 to 2 green chillies, chopped', '¼ teaspoon turmeric powder', '1 pinch of asafoetida (hing)', '½ cup water', '3 tablespoons chopped coriander leaves', '8 to 10 cashews , optional', '¼ teaspoon sugar, optional', 'salt as required']"
8,https://www.vegrecipesofindia.com/veg-manchurian-veg-manchurian-gravy/,Manchurian Recipe (2 Ways) | Veg Manchurian Gravy And Dry,Indo Chinese,1 hr,"['Ingredients', 'For Veg Manchurian Balls', '½ cup grated carrot', '½ cup finely chopped cabbage (purple or green)', '¼ cup finely chopped bell pepper (capsicum)', '¼ cup finely chopped spring onions (scallions)', '½ teaspoon freshly crushed black pepper or black pepper powder or white pepper powder', '2 tablespoons all purpose flour', '2 tablespoons cornflour (corn starch)', '½ teaspoon salt or add as per taste', 'oil as required, for shallow or deep frying - sunflower oil or any neutral tasting oil', 'For Corn Starch Or Cornflour Paste', '1 tablespoon cornflour (known as corn starch outside india)', '2 tablespoons water', 'For Manchurian Gravy Or Sauce', '1 to 1.5 tablespoons oil - toasted sesame oil or sunflower oil or any neutral tasting oil', '4 tablespoons finely chopped onions or chopped spring onion whites (scallion whites)', '1 tablespoon finely chopped ginger', '1 tablespoon finely chopped garlic', '2 green chillies - finely chopped', '1 tablespoon finely chopped celery (optional)', '½ tablespoon soy sauce', '1 tablespoon tomato ketchup', '2 to 3 teaspoons red chilli sauce', '1 teaspoon rice vinegar or regular white vinegar or apple cider vinegar', '1 to 1.25 cups water or vegetable stock', '½ teaspoon black pepper powder or freshly crushed black pepper or white pepper powder', 'salt to taste', '¼ to ½ teaspoon sugar to taste or add as required', '1 tablespoon spring onion greens (scallion greens) for garnishing']"
9,https://www.vegrecipesofindia.com/restaurant-style-dal-tadka/,Dal Tadka (Stovetop And Instant Pot),North Indian,30 mins,"['Ingredients', 'For Making Dal', '1 cup arhar dal (tuvar dal or split pigeon pea lentils) or ½ cup arhar dal + ½ cup masoor dal (split pink lentils)', '1 or 2 green chilies - chopped or slit lengthwise', '1 medium sized onion - chopped', '2 medium sized tomatoes - chopped', '1 inch ginger - finely chopped or grated or about 1 teaspoon of grated or chopped ginger (optional)', '½ teaspoon turmeric powder', '½ teaspoon garam masala powder', '1 pinch asafoetida (hing)', '2.5 cups water for pressure cooking', '1 teaspoon crushed kasuri methi (dry fenugreek leaves)', '1 or 2 tablespoon cream (optional)', '2 tablespoon chopped coriander leaves (cilantro leaves)', 'salt as required', 'For Tempering Or Tadka', '3 tablespoon oil or 3 tablespoon ghee or butter', '1 teaspoon cumin seeds', '5 to 6 garlic cloves - finely chopped', '2 to 3 dry red chilies - broken and seeds removed', 'a generous pinch of asafoetida (hing)', '½ teaspoon red chili powder', 'For Garnish', '1 tablespoon chopped coriander leaves', '(cilantro leaves)', 'For Dhungar Method', 'a small piece of charcoal', '¼ teaspoon oil or ghee (clarified butter)']"
